Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
229,Ralph Simpson,SG,29,NJN,32,,16.5,2.7,7.4,0.367,,,,2.7,7.4,0.367,0.367,1.5,2.2,0.676,0.6,1.3,1.9,2.1,0.4,0.1,1.7,0.9,6.9
230,Al Skinner,SG,26,TOT,45,,14.3,2,4.8,0.425,,,,2,4.8,0.425,0.425,2.2,2.5,0.868,0.6,1.3,1.9,2,0.9,0.1,1.6,2.5,6.2
230,Al Skinner,SG,26,NJN,23,,14.5,2.4,5.4,0.44,,,,2.4,5.4,0.44,0.44,3.1,3.6,0.878,0.5,1.3,1.8,2.1,1,0.1,1.7,2.3,7.9
230,Al Skinner,SG,26,PHI,22,,14,1.6,4,0.404,,,,1.6,4,0.404,0.404,1.2,1.5,0.844,0.7,1.3,2,1.8,0.8,0,1.5,2.8,4.5
231,Bingo Smith,SG,32,CLE,72,,22.9,5,10.9,0.46,,,,5,10.9,0.46,0.46,1.2,1.5,0.783,1.1,1.8,2.9,1.7,0.6,0.1,1,2.6,11.2
232,Elmore Smith,C,29,CLE,24,,13.8,2.9,5.4,0.531,,,,2.9,5.4,0.531,0.531,0.8,1.1,0.692,1.9,2.5,4.4,0.5,0.3,0.7,1.8,2.5,6.5
233,Phil Smith,SG,26,GSW,59,,38.8,8.3,16.6,0.501,,,,8.3,16.6,0.501,0.501,3.3,4.3,0.761,0.8,2.8,3.6,4.4,1.7,0.4,2.9,2.7,19.9
234,Randy Smith,SG,30,SDC,82,,37.9,8.5,18.6,0.455,,,,8.5,18.6,0.455,0.455,3.6,4.4,0.813,1.2,2.4,3.6,4.8,2.2,0.1,3.1,2.2,20.5
235,Robert Smith,PG,23,DEN,82,,18,2.2,5.3,0.422,,,,2.2,5.3,0.422,0.422,1.9,2.2,0.883,0.5,1.3,1.8,2.5,0.7,0.2,1.2,2,6.4
236,Sam Smith,SF,24,MIL,16,,7.8,1.2,2.9,0.404,,,,1.2,2.9,0.404,0.404,1.1,1.5,0.75,0,0.6,0.6,1,0.5,0.4,0.5,0.8,3.5
237,Willie Smith,PG,25,POR,13,,10.1,1.8,3.4,0.523,,,,1.8,3.4,0.523,0.523,0.9,1.3,0.706,0.5,0.5,1,1.3,0.8,0.1,1.1,1.5,4.5
238,Dick Snyder,SG,34,SEA,56,,9.6,1.4,3.3,0.433,,,,1.4,3.3,0.433,0.433,0.8,0.9,0.843,0.3,0.6,0.9,1.1,0.3,0.1,0.6,0.9,3.7
239,Ricky Sobers,SG,26,IND,81,,34.9,6.8,14.7,0.463,,,,6.8,14.7,0.463,0.463,3.7,4.2,0.882,1.5,2.3,3.7,5.6,1.7,0.3,3.8,3.9,17.3
240,Kevin Stacom,SG,27,TOT,68,,12.2,1.9,5,0.374,,,,1.9,5,0.374,0.374,0.6,0.9,0.733,0.4,0.8,1.3,1.6,0.4,0,1.2,0.7,4.4
240,Kevin Stacom,SG,27,IND,44,,13,1.7,4.8,0.364,,,,1.7,4.8,0.364,0.364,0.7,0.9,0.756,0.5,0.9,1.4,1.8,0.3,0,1.2,0.7,4.2
240,Kevin Stacom,SG,27,BOS,24,,10.8,2.2,5.5,0.391,,,,2.2,5.5,0.391,0.391,0.5,0.8,0.684,0.4,0.6,1,1.5,0.6,0,1.1,0.8,4.9
241,Larry Steele,SG,29,POR,72,,20.7,2.8,6.7,0.42,,,,2.8,6.7,0.42,0.42,1.6,1.9,0.824,0.8,1.6,2.4,2,1,0.1,1.3,2.9,7.2
242,Earl Tatum,SG,25,TOT,79,,15.6,3.5,7.9,0.447,,,,3.5,7.9,0.447,0.447,0.7,0.9,0.732,0.5,1.1,1.6,0.9,1,0.4,1.1,2.1,7.7
242,Earl Tatum,SG,25,BOS,3,,12.7,2.7,6.7,0.4,,,,2.7,6.7,0.4,0.4,1.3,1.7,0.8,0.3,1,1.3,0.3,0,0.3,1,2.3,6.7
242,Earl Tatum,SG,25,DET,76,,15.7,3.6,8,0.448,,,,3.6,8,0.448,0.448,0.6,0.9,0.727,0.5,1.1,1.6,0.9,1,0.4,1.1,2.1,7.8
243,Brian Taylor,PG,27,SDC,20,,10.6,1.5,4.2,0.361,,,,1.5,4.2,0.361,0.361,0.8,0.9,0.889,0.7,0.7,1.3,1,1.2,0,0.9,1.7,3.8
244,Ira Terrell,SF,24,TOT,49,,14.9,1.9,4,0.47,,,,1.9,4,0.47,0.47,0.7,1.1,0.66,0.9,2.1,3,0.8,0.4,0.6,1.1,2,4.5
244,Ira Terrell,SF,24,NOJ,31,,18.5,2,4.6,0.438,,,,2,4.6,0.438,0.438,0.9,1.2,0.711,1.1,2.4,3.5,0.8,0.5,0.7,1.2,2.4,4.9
244,Ira Terrell,SF,24,POR,18,,8.9,1.7,3,0.556,,,,1.7,3,0.556,0.556,0.4,0.8,0.533,0.6,1.5,2.1,0.8,0.4,0.3,0.9,1.5,3.8
245,Reggie Theus,PG,21,CHI,82,,33.6,6.5,13.6,0.48,,,,6.5,13.6,0.48,0.48,3.2,4.2,0.761,1.1,1.7,2.8,5.2,1.1,0.2,3.7,3.3,16.3
246,David Thompson*,SG,24,DEN,76,,35.1,9.1,17.8,0.512,,,,9.1,17.8,0.512,0.512,5.8,7.7,0.753,1.4,2.2,3.6,3,0.9,1.1,2.4,2.4,24
247,Mychal Thompson,C,24,POR,73,,29.4,6.3,12.8,0.49,,,,6.3,12.8,0.49,0.49,2.1,3.7,0.572,2.7,5.6,8.3,2.4,0.9,1.8,2.8,3.7,14.7
248,Rudy Tomjanovich*,PF,30,HOU,74,,35.7,8.4,16.2,0.517,,,,8.4,16.2,0.517,0.517,2.3,3,0.76,2.3,5.4,7.7,1.9,0.6,0.2,1.9,2.5,19
249,Raymond Townsend,SG,23,GSW,65,,11.9,2,4.4,0.439,,,,2,4.4,0.439,0.439,0.8,1,0.735,0.2,0.7,0.8,1.4,0.4,0.1,0.8,1.1,4.7
250,Dave Twardzik,PG,28,POR,64,,24.5,3.2,6,0.533,,,,3.2,6,0.533,0.533,4.1,4.7,0.873,0.6,1.3,1.9,2.8,1.3,0.1,2,2.9,10.4
251,Terry Tyler,PF,22,DET,82,,31.2,5.6,11.5,0.482,,,,5.6,11.5,0.482,0.482,1.8,2.7,0.658,2.6,5.3,7.9,1.1,1.3,2.5,1.7,3.1,12.9
252,Wes Unseld*,C,32,WSB,77,,31.2,4.5,7.8,0.577,,,,4.5,7.8,0.577,0.577,2,3.1,0.643,3.6,7.2,10.8,4.1,0.9,0.5,2,2.6,10.9
253,Jan van Breda Kolff,SF,27,NJN,80,,25,2.5,5.3,0.463,,,,2.5,5.3,0.463,0.463,1.8,2.3,0.798,1.4,3.4,4.8,2.3,1.1,0.9,1.7,2.9,6.7
254,Norm Van Lier,PG,31,MIL,38,,14.6,0.8,2,0.39,,,,0.8,2,0.39,0.39,1.2,1.4,0.904,0.2,0.8,1.1,4.2,1.1,0.1,1.3,2.8,2.8
